"Income" "Miles" "Tax" "Dlic" "Fuel"
"AL" 23.471 94440 18 1031.38006701847 690.264417574993
"AK" 30.064 13628 8 1031.64106194072 514.279222595078
"AZ" 25.578 55245 18 908.597153288295 621.475071439064
"AR" 22.257 98132 21.7 946.570575821351 655.292667934626
"CA" 32.275 168771 18 844.703336324955 573.9128549539
"CO" 32.949 85854 22 989.606179767672 616.61151166833
"CT" 40.64 20910 25 999.593430316672 549.992607823939
"DE" 31.255 5814 23 924.344838095987 626.023933707922
"DC" 37.383 1534 20 700.195272901883 317.492397161607
"FL" 28.145 117299 13.6 1000.12415807756 586.346096056443
"GA" 27.94 115534 7.5 933.302595481984 750.907417207779
"HI" 28.221 4278 16 829.997134380689 426.349369563752
"ID" 24.18 46310 25 925.193413718599 628.427947327909
"IL" 32.259 138359 19 819.436730764852 526.237662149473
"IN" 27.011 94038 15 879.235228490054 666.536462560162
"IA" 26.723 113437 20 867.490690494791 647.001624724573
"KS" 27.816 134725 21 909.06533870232 600.902409485793
"KY" 24.294 78914 16.4 871.99848922099 659.741313890594
"LA" 23.334 60829 20 800.685095736076 633.734764440533
"ME" 25.623 22672 22 932.971582928575 584.09261655018
"MD" 33.872 30622 23.5 844.963775370581 602.286173348523
"MA" 37.992 35408 21 920.65885690655 543.232068166039
"MI" 29.612 121790 19 914.633785036254 642.970594520049
"MN" 32.101 132280 20 782.812385584605 672.919149935088
"MS" 20.993 73701 18.4 860.807854955524 683.501954711793
"MO" 27.445 124324 17 899.846814260835 689.366113916604
"MT" 22.569 69503 27 974.235233233013 666.597759126804
"NE" 27.829 92766 24.5 963.733123240459 617.690539889002
"NV" 30.529 38658 24.75 923.803690236531 614.893985028897
"NH" 33.332 15508 19.5 980.466232837424 689.652121137672
"NJ" 36.983 36175 10.5 873.136402254322 597.640261487676
"NM" 22.203 59883 18.5 898.963896961903 646.527273974662
"NY" 34.547 112961 22 744.380184904203 374.164069568442
"NC" 27.194 101195 24.1 935.380823508206 645.44182635314
"ND" 25.068 86591 21 907.890858981712 666.188746574906
"OH" 28.4 117267 22 880.151157115341 572.075639994402
"OK" 23.517 112694 17 814.861854952389 657.060517651013
"OR" 28.35 66784 24 948.07171556472 556.345512240941
"PA" 29.539 119985 26 848.588098993737 518.328629902227
"RI" 29.685 6053 29 798.13383864629 482.326937160563
"SC" 24.321 66167 16 914.85267067506 711.733057689406
"SD" 26.115 83560 22 943.895904161998 697.052777060952
"TN" 26.239 87826 20 942.044364952034 638.231060954519
"TX" 27.871 300767 20 835.295554893788 681.100136591545
"UT" 23.907 42208 24.5 935.788545858666 591.499945887818
"VT" 26.901 14291 20 1075.28820172556 691.02271186087
"VA" 31.162 70721 17.5 889.91951439532 681.031121438063
"WA" 31.528 80985 23 930.856245542413 576.069749558003
"WV" 21.915 36997 25.65 904.893600939967 562.410933302184
"WI" 28.232 112663 27.3 882.329081229435 581.793716945712
"WY" 27.23 27292 14 970.752745612519 842.791752426142
